platform,availability,discovery_modes,public_metrics,owner_metrics,credential_gate,freshness_sla_days,source_linked_account_candidates,run_status
youtube,SUPPORTED_NOW,official_channel|playlist|search|shorts|livestream,view_count|like_count|comment_count,,APIFY_API_TOKEN,14,0,PASS
x,CONNECTOR_READY,recent_search|full_archive_search|account_timeline,impression_count|like_count|reply_count|repost_count|quote_count|media_view_count,,X_DEVELOPER_APP_AND_PREPAID_CAP,14,1,CONNECTOR_READY
threads,CONNECTOR_READY,keyword_search|profile_lookup|profile_posts,,views|likes|replies|reposts|quotes|shares,META_APP_THREADS_OAUTH_AND_SCOPES,14,3,CONNECTOR_READY
instagram,CONNECTOR_READY,authorized_professional_account|hashtag_media,,views|plays|reach|likes|comments|shares|saves|watch_time,META_APP_PROFESSIONAL_ACCOUNT_AND_REVIEW,14,43,CONNECTOR_READY
facebook_owned_pages,CONNECTOR_READY,authorized_page_feed|authorized_page_reels,,,META_APP_PAGE_TOKEN_AND_PERMISSIONS,14,135,CONNECTOR_READY
facebook_public_pages,ACCESS_NOT_APPROVED,public_page_feed,,,PAGE_PUBLIC_CONTENT_ACCESS,14,135,ACCESS_NOT_APPROVED
tiktok_display,CONNECTOR_READY,authorized_creator_feed,view_count|like_count|comment_count|share_count,,TIKTOK_APP_VIDEO_LIST_AND_CREATOR_CONSENT,14,41,CONNECTOR_READY
tiktok_research,ACCESS_NOT_APPROVED,public_video_query,view_count|like_count|comment_count|share_count|favorite_count,,QUALIFYING_NON_COMMERCIAL_RESEARCH_APPROVAL,14,41,ACCESS_NOT_APPROVED
zalo,NO_SUPPORTED_API,,,,DOCUMENTED_PARTNER_FEED_REQUIRED,30,0,NO_SUPPORTED_API
vieon,NO_SUPPORTED_API,manual_catalog_corroboration,,,DOCUMENTED_PARTNER_FEED_REQUIRED,30,0,NO_SUPPORTED_API
fpt_play,NO_SUPPORTED_API,,,,DOCUMENTED_PARTNER_FEED_REQUIRED,30,0,NO_SUPPORTED_API
